lc_id,title,topic,source_md,target_py,py_exists,seen_in_days,status,tags,notes
LC045,Jump Game Ii,graphs,LC045_jump-game-ii.md,LC045_jump-game-ii.py,no,Day-12;Day-49,todo,graphs,
LC079,Word Search,graphs,LC079_word-search.md,LC079_word-search.py,no,Day-15,todo,graphs,
LC102,Binary Tree Level Order Traversal,graphs,LC102_binary-tree-level-order-traversal.md,LC102_binary-tree-level-order-traversal.py,no,Day-08;Day-35;Day-47,todo,graphs,
LC104,Maximum Depth Of Binary Tree,graphs,LC104_maximum-depth-of-binary-tree.md,LC104_maximum-depth-of-binary-tree.py,no,Day-08;Day-36,todo,graphs,
LC1091,Shortest Path In Binary Matrix,graphs,LC1091_shortest-path-in-binary-matrix.md,LC1091_shortest-path-in-binary-matrix.py,no,Day-46;Day-67,todo,graphs,
LC127,Word Ladder,graphs,LC127_word-ladder.md,LC127_word-ladder.py,no,Day-68,todo,graphs,
LC130,Surrounded Regions,graphs,LC130_surrounded-regions.md,LC130_surrounded-regions.py,no,Day-46,todo,graphs,
LC199,Binary Tree Right Side View,graphs,LC199_binary-tree-right-side-view.md,LC199_binary-tree-right-side-view.py,no,Day-08;Day-35,todo,graphs,
LC200,Number Of Islands,graphs,LC200_number-of-islands.md,LC200_number-of-islands.py,no,Day-11;Day-47;Day-57;Day-86,todo,graphs,
LC207,Course Schedule,graphs,LC207_course-schedule.md,LC207_course-schedule.py,no,Day-11;Day-42;Day-54,todo,graphs,
LC210,Course Schedule Ii,graphs,LC210_course-schedule-ii.md,LC210_course-schedule-ii.py,no,Day-42,todo,graphs,
LC211,Design Add And Search Words Data Structure,graphs,LC211_design-add-and-search-words-data-structure.md,LC211_design-add-and-search-words-data-structure.py,no,Day-17;Day-41,todo,graphs,
LC212,Word Search Ii,graphs,LC212_word-search-ii.md,LC212_word-search-ii.py,no,Day-17,todo,graphs,
LC226,Invert Binary Tree,graphs,LC226_invert-binary-tree.md,LC226_invert-binary-tree.py,no,Day-08,todo,graphs,
LC261,Graph Valid Tree,graphs,LC261_graph-valid-tree.md,LC261_graph-valid-tree.py,no,Day-79,todo,graphs,
LC269,Alien Dictionary,graphs,LC269_alien-dictionary.md,LC269_alien-dictionary.py,no,Day-61,todo,graphs,
LC297,Serialize And Deserialize Binary Tree,graphs,LC297_serialize-and-deserialize-binary-tree.md,LC297_serialize-and-deserialize-binary-tree.py,no,Day-50;Day-61;Day-68,todo,graphs,
LC323,Number Of Connected Components,graphs,LC323_number-of-connected-components.md,LC323_number-of-connected-components.py,no,Day-79,todo,graphs,
LC417,Pacific Atlantic Water Flow,graphs,LC417_pacific-atlantic-water-flow.md,LC417_pacific-atlantic-water-flow.py,no,Day-11,todo,graphs,
LC513,Find Bottom Left Tree Value,graphs,LC513_find-bottom-left-tree-value.md,LC513_find-bottom-left-tree-value.py,no,Day-35,todo,graphs,
LC547,Number Of Provinces,graphs,LC547_number-of-provinces.md,LC547_number-of-provinces.py,no,Day-47;Day-73,todo,graphs,
LC684,Redundant Connection,graphs,LC684_redundant-connection.md,LC684_redundant-connection.py,no,Day-11;Day-73,todo,graphs,
LC743,Network Delay Time,graphs,LC743_network-delay-time.md,LC743_network-delay-time.py,no,Day-22;Day-48;Day-64,todo,graphs,
LC787,Cheapest Flights Within K Stops,graphs,LC787_cheapest-flights-within-k-stops.md,LC787_cheapest-flights-within-k-stops.py,no,Day-22,todo,graphs,
LC994,Rotting Oranges,graphs,LC994_rotting-oranges.md,LC994_rotting-oranges.py,no,Day-46;Day-67,todo,graphs,
