lc_id,title,topic,source_md,target_py,py_exists,seen_in_days,status,tags,notes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
LC496,Next Greater Element I,stack,LC496_next-greater-element-i.md,LC496_next-greater-element-i.py,no,Day-71,todo,stack,
LC503,Next Greater Element Ii,stack,LC503_next-greater-element-ii.md,LC503_next-greater-element-ii.py,no,Day-71,todo,stack,
LC739,Daily Temperatures,stack,LC739_daily-temperatures.md,LC739_daily-temperatures.py,no,Day-03;Day-24;Day-32;Day-45,todo,stack,
LC853,Car Fleet,stack,LC853_car-fleet.md,LC853_car-fleet.py,no,Day-03,todo,stack,
LC901,Online Stock Span,stack,LC901_online-stock-span.md,LC901_online-stock-span.py,no,Day-24;Day-56;Day-71,todo,stack,
