event_id,customer_id,event_type,event_ts,page,session_id
E001,1,page_view,2023-04-01 09:00:00,/home,S001
E002,1,click,2023-04-01 09:01:30,/home,S001
E003,1,page_view,2023-04-01 09:02:00,/products,S001
E004,1,purchase,2023-04-01 09:15:00,/checkout,S001
E005,2,page_view,2023-04-01 10:00:00,/home,S002
E006,2,signup,2023-04-01 10:05:00,/register,S002
E007,3,page_view,2023-04-02 08:30:00,/products,S003
E008,3,click,2023-04-02 08:35:00,/products/P001,S003
E009,4,page_view,2023-04-02 11:00:00,/home,S004
E010,4,purchase,2023-04-02 11:20:00,/checkout,S004
E011,5,page_view,2023-04-03 09:00:00,/home,S005
E012,5,click,2023-04-03 09:05:00,/products,S005
E013,6,signup,2023-04-03 10:00:00,/register,S006
E014,6,page_view,2023-04-03 10:01:00,/home,S006
E015,7,page_view,2023-04-04 09:00:00,/products,S007
E016,7,purchase,2023-04-04 09:30:00,/checkout,S007
E017,8,page_view,2023-04-04 14:00:00,/home,S008
E018,8,click,2023-04-04 14:05:00,/products/P002,S008
E019,9,page_view,2023-04-05 09:00:00,/home,S009
E020,9,click,2023-04-05 09:10:00,/products,S009
E021,10,page_view,2023-04-05 11:00:00,/home,S010
E022,10,signup,2023-04-05 11:05:00,/register,S010
E023,11,page_view,2023-04-06 09:00:00,/home,S011
E024,11,purchase,2023-04-06 09:45:00,/checkout,S011
E025,12,page_view,2023-04-06 13:00:00,/products,S012
E026,12,click,2023-04-06 13:10:00,/products/P005,S012
E027,13,page_view,2023-04-07 09:00:00,/home,S013
E028,13,click,2023-04-07 09:05:00,/products,S013
E029,14,signup,2023-04-07 10:00:00,/register,S014
E030,14,page_view,2023-04-07 10:01:00,/home,S014
E031,15,page_view,2023-04-08 09:00:00,/products,S015
E032,15,purchase,2023-04-08 09:20:00,/checkout,S015
E033,16,page_view,2023-04-08 14:00:00,/home,S016
E034,16,click,2023-04-08 14:15:00,/products/P003,S016
E035,17,page_view,2023-04-09 09:00:00,/home,S017
E036,17,purchase,2023-04-09 09:40:00,/checkout,S017
E037,18,page_view,2023-04-09 11:00:00,/home,S018
E038,18,click,2023-04-09 11:10:00,/products,S018
E039,19,page_view,2023-04-10 09:00:00,/home,S019
E040,20,purchase,2023-04-10 10:00:00,/checkout,S020
