order_id,customer_id,product_id,amount_cents,status,order_date,updated_at
O001,1,P001,149999,completed,2023-03-01,2023-03-05
O002,2,P002,2999,completed,2023-03-02,2023-03-03
O003,3,P003,4999,completed,2023-03-10,2023-03-11
O004,4,P004,59999,completed,2023-03-15,2023-03-20
O005,5,P005,89999,cancelled,2023-03-20,2023-03-21
O006,1,P006,999,completed,2023-04-01,2023-04-02
O007,6,P001,149999,completed,2023-04-05,2023-04-10
O008,7,P007,499,completed,2023-04-10,2023-04-11
O009,8,P008,39999,pending,2023-04-15,2023-04-15
O010,9,P009,12999,cancelled,2023-04-20,2023-04-21
O011,10,P010,7999,completed,2023-05-01,2023-05-03
O012,11,P001,149999,completed,2023-05-05,2023-05-10
O013,12,P002,2999,pending,2023-05-10,2023-05-10
O014,13,P003,4999,completed,2023-05-15,2023-05-16
O015,14,P004,59999,completed,2023-05-20,2023-05-25
O016,15,P005,89999,completed,2023-06-01,2023-06-06
O017,16,P006,999,cancelled,2023-06-05,2023-06-06
O018,17,P007,499,completed,2023-06-10,2023-06-11
O019,18,P008,39999,completed,2023-06-15,2023-06-17
O020,19,P009,12999,completed,2023-06-20,2023-06-25
O021,20,P010,7999,completed,2023-07-01,2023-07-03
O022,1,P001,149999,pending,2023-07-05,2023-07-05
O023,2,P003,4999,completed,2023-07-10,2023-07-11
O024,3,P005,89999,cancelled,2023-07-15,2023-07-16
O025,4,P007,499,completed,2022-12-01,2022-12-02
O026,5,P001,149999,completed,2022-11-15,2022-11-20
O027,6,P002,2999,completed,2023-08-01,2023-08-02
O028,7,P004,59999,completed,2023-08-05,2023-08-10
O029,8,P010,7999,pending,2023-08-10,2023-08-10
O030,9,P006,999,completed,2023-08-15,2023-08-16
