id,sensor,value,status,event_date
0,sensor_00,48.57,NORMAL,2026-04-27
1,sensor_01,14.78,NORMAL,2026-04-27
2,sensor_02,78.99,NORMAL,2026-04-27
3,sensor_03,28.83,NORMAL,2026-04-27
4,sensor_04,20.87,NORMAL,2026-04-27
5,sensor_05,42.53,NORMAL,2026-04-27
6,sensor_06,24.19,NORMAL,2026-04-27
7,sensor_07,63.17,NORMAL,2026-04-27
8,sensor_08,45.39,NORMAL,2026-04-27
9,sensor_09,54.73,NORMAL,2026-04-27
10,sensor_10,40.79,NORMAL,2026-04-27
11,sensor_11,83.83,ALERT,2026-04-27
12,sensor_12,75.07,NORMAL,2026-04-27
13,sensor_13,18.33,NORMAL,2026-04-27
14,sensor_14,70.72,NORMAL,2026-04-27
15,sensor_15,22.94,NORMAL,2026-04-27
16,sensor_16,12.34,NORMAL,2026-04-27
17,sensor_17,59.17,NORMAL,2026-04-27
18,sensor_18,66.18,NORMAL,2026-04-27
19,sensor_19,40.36,NORMAL,2026-04-27
20,sensor_00,82.93,ALERT,2026-04-27
21,sensor_01,35.65,NORMAL,2026-04-27
22,sensor_02,95.82,ALERT,2026-04-27
23,sensor_03,24.97,NORMAL,2026-04-27
24,sensor_04,25.57,NORMAL,2026-04-27
25,sensor_05,22.12,NORMAL,2026-04-27
26,sensor_06,15.47,NORMAL,2026-04-27
27,sensor_07,38.39,NORMAL,2026-04-27
28,sensor_08,16.31,NORMAL,2026-04-27
29,sensor_09,29.15,NORMAL,2026-04-27
30,sensor_10,13.28,NORMAL,2026-04-27
31,sensor_11,45.74,NORMAL,2026-04-27
32,sensor_12,38.47,NORMAL,2026-04-27
33,sensor_13,87.78,ALERT,2026-04-27
34,sensor_14,75.76,NORMAL,2026-04-27
35,sensor_15,55.73,NORMAL,2026-04-27
36,sensor_16,95.15,ALERT,2026-04-27
37,sensor_17,98.51,ALERT,2026-04-27
38,sensor_18,36.46,NORMAL,2026-04-27
39,sensor_19,47.38,NORMAL,2026-04-27
40,sensor_00,38.97,NORMAL,2026-04-27
41,sensor_01,11.15,NORMAL,2026-04-27
42,sensor_02,18.61,NORMAL,2026-04-27
43,sensor_03,7.9,NORMAL,2026-04-27
44,sensor_04,54.45,NORMAL,2026-04-27
45,sensor_05,44.9,NORMAL,2026-04-27
46,sensor_06,53.79,NORMAL,2026-04-27
47,sensor_07,42.41,NORMAL,2026-04-27
48,sensor_08,18.45,NORMAL,2026-04-27
49,sensor_09,50.95,NORMAL,2026-04-27
50,sensor_10,48.57,NORMAL,2026-04-27
51,sensor_11,29.07,NORMAL,2026-04-27
52,sensor_12,62.94,NORMAL,2026-04-27
53,sensor_13,10.53,NORMAL,2026-04-27
54,sensor_14,52.9,NORMAL,2026-04-27
55,sensor_15,22.42,NORMAL,2026-04-27
56,sensor_16,54.71,NORMAL,2026-04-27
57,sensor_17,22.27,NORMAL,2026-04-27
58,sensor_18,63.28,NORMAL,2026-04-27
59,sensor_19,7.37,NORMAL,2026-04-27
60,sensor_00,27.71,NORMAL,2026-04-27
61,sensor_01,41.92,NORMAL,2026-04-27
62,sensor_02,75.16,NORMAL,2026-04-27
63,sensor_03,55.48,NORMAL,2026-04-27
64,sensor_04,17.88,NORMAL,2026-04-27
65,sensor_05,7.4,NORMAL,2026-04-27
66,sensor_06,77.79,NORMAL,2026-04-27
67,sensor_07,77.7,NORMAL,2026-04-27
68,sensor_08,36.03,NORMAL,2026-04-27
69,sensor_09,89.81,ALERT,2026-04-27
70,sensor_10,82.04,ALERT,2026-04-27
71,sensor_11,38.85,NORMAL,2026-04-27
72,sensor_12,96.64,ALERT,2026-04-27
73,sensor_13,92.0,ALERT,2026-04-27
74,sensor_14,52.02,NORMAL,2026-04-27
75,sensor_15,23.01,NORMAL,2026-04-27
76,sensor_16,69.85,NORMAL,2026-04-27
77,sensor_17,10.97,NORMAL,2026-04-27
78,sensor_18,70.44,NORMAL,2026-04-27
79,sensor_19,38.02,NORMAL,2026-04-27
80,sensor_00,69.76,NORMAL,2026-04-27
81,sensor_01,70.33,NORMAL,2026-04-27
82,sensor_02,23.09,NORMAL,2026-04-27
83,sensor_03,36.77,NORMAL,2026-04-27
84,sensor_04,49.9,NORMAL,2026-04-27
85,sensor_05,92.08,ALERT,2026-04-27
86,sensor_06,59.59,NORMAL,2026-04-27
87,sensor_07,69.14,NORMAL,2026-04-27
88,sensor_08,40.73,NORMAL,2026-04-27
89,sensor_09,12.76,NORMAL,2026-04-27
90,sensor_10,19.16,NORMAL,2026-04-27
91,sensor_11,84.85,ALERT,2026-04-27
92,sensor_12,58.51,NORMAL,2026-04-27
93,sensor_13,76.7,NORMAL,2026-04-27
94,sensor_14,38.09,NORMAL,2026-04-27
95,sensor_15,45.44,NORMAL,2026-04-27
96,sensor_16,8.75,NORMAL,2026-04-27
97,sensor_17,26.5,NORMAL,2026-04-27
98,sensor_18,53.06,NORMAL,2026-04-27
99,sensor_19,50.91,NORMAL,2026-04-27
100,sensor_00,48.57,NORMAL,2026-04-27
101,sensor_01,97.69,ALERT,2026-04-27
102,sensor_02,45.33,NORMAL,2026-04-27
103,sensor_03,47.71,NORMAL,2026-04-27
104,sensor_04,59.15,NORMAL,2026-04-27
105,sensor_05,8.64,NORMAL,2026-04-27
106,sensor_06,22.25,NORMAL,2026-04-27
107,sensor_07,42.7,NORMAL,2026-04-27
108,sensor_08,69.72,NORMAL,2026-04-27
109,sensor_09,54.36,NORMAL,2026-04-27
110,sensor_10,69.25,NORMAL,2026-04-27
111,sensor_11,13.93,NORMAL,2026-04-27
112,sensor_12,47.82,NORMAL,2026-04-27
113,sensor_13,44.21,NORMAL,2026-04-27
114,sensor_14,29.03,NORMAL,2026-04-27
115,sensor_15,45.09,NORMAL,2026-04-27
116,sensor_16,8.38,NORMAL,2026-04-27
117,sensor_17,89.78,ALERT,2026-04-27
118,sensor_18,27.59,NORMAL,2026-04-27
119,sensor_19,84.99,ALERT,2026-04-27
120,sensor_00,63.37,NORMAL,2026-04-27
121,sensor_01,33.47,NORMAL,2026-04-27
122,sensor_02,12.92,NORMAL,2026-04-27
123,sensor_03,65.44,NORMAL,2026-04-27
124,sensor_04,5.11,NORMAL,2026-04-27
125,sensor_05,36.13,NORMAL,2026-04-27
126,sensor_06,32.41,NORMAL,2026-04-27
127,sensor_07,24.3,NORMAL,2026-04-27
128,sensor_08,43.63,NORMAL,2026-04-27
129,sensor_09,19.55,NORMAL,2026-04-27
130,sensor_10,28.32,NORMAL,2026-04-27
131,sensor_11,92.4,ALERT,2026-04-27
132,sensor_12,61.1,NORMAL,2026-04-27
133,sensor_13,22.52,NORMAL,2026-04-27
134,sensor_14,59.9,NORMAL,2026-04-27
135,sensor_15,30.35,NORMAL,2026-04-27
136,sensor_16,3.83,NORMAL,2026-04-27
137,sensor_17,20.92,NORMAL,2026-04-27
138,sensor_18,22.08,NORMAL,2026-04-27
139,sensor_19,58.96,NORMAL,2026-04-27
140,sensor_00,0.92,NORMAL,2026-04-27
141,sensor_01,27.65,NORMAL,2026-04-27
142,sensor_02,66.74,NORMAL,2026-04-27
143,sensor_03,65.02,NORMAL,2026-04-27
144,sensor_04,67.88,NORMAL,2026-04-27
145,sensor_05,22.05,NORMAL,2026-04-27
146,sensor_06,20.67,NORMAL,2026-04-27
147,sensor_07,65.4,NORMAL,2026-04-27
148,sensor_08,70.58,NORMAL,2026-04-27
149,sensor_09,18.55,NORMAL,2026-04-27
150,sensor_10,48.57,NORMAL,2026-04-27
151,sensor_11,35.79,NORMAL,2026-04-27
152,sensor_12,38.76,NORMAL,2026-04-27
153,sensor_13,90.47,ALERT,2026-04-27
154,sensor_14,6.47,NORMAL,2026-04-27
155,sensor_15,13.28,NORMAL,2026-04-27
156,sensor_16,74.59,NORMAL,2026-04-27
157,sensor_17,3.98,NORMAL,2026-04-27
158,sensor_18,56.03,NORMAL,2026-04-27
159,sensor_19,88.16,ALERT,2026-04-27
160,sensor_00,28.77,NORMAL,2026-04-27
161,sensor_01,47.52,NORMAL,2026-04-27
162,sensor_02,63.02,NORMAL,2026-04-27
163,sensor_03,25.11,NORMAL,2026-04-27
164,sensor_04,71.76,NORMAL,2026-04-27
165,sensor_05,28.22,NORMAL,2026-04-27
166,sensor_06,38.1,NORMAL,2026-04-27
167,sensor_07,14.51,NORMAL,2026-04-27
168,sensor_08,33.27,NORMAL,2026-04-27
169,sensor_09,84.71,ALERT,2026-04-27
170,sensor_10,7.08,NORMAL,2026-04-27
171,sensor_11,63.71,NORMAL,2026-04-27
172,sensor_12,19.73,NORMAL,2026-04-27
173,sensor_13,37.24,NORMAL,2026-04-27
174,sensor_14,31.67,NORMAL,2026-04-27
175,sensor_15,8.47,NORMAL,2026-04-27
176,sensor_16,60.16,NORMAL,2026-04-27
177,sensor_17,85.14,ALERT,2026-04-27
178,sensor_18,1.44,NORMAL,2026-04-27
179,sensor_19,54.6,NORMAL,2026-04-27
180,sensor_00,54.98,NORMAL,2026-04-27
181,sensor_01,80.22,ALERT,2026-04-27
182,sensor_02,75.87,NORMAL,2026-04-27
183,sensor_03,47.14,NORMAL,2026-04-27
184,sensor_04,86.81,ALERT,2026-04-27
185,sensor_05,28.42,NORMAL,2026-04-27
186,sensor_06,51.86,NORMAL,2026-04-27
187,sensor_07,64.02,NORMAL,2026-04-27
188,sensor_08,69.04,NORMAL,2026-04-27
189,sensor_09,19.08,NORMAL,2026-04-27
190,sensor_10,29.91,NORMAL,2026-04-27
191,sensor_11,86.66,ALERT,2026-04-27
192,sensor_12,45.07,NORMAL,2026-04-27
193,sensor_13,36.12,NORMAL,2026-04-27
194,sensor_14,60.22,NORMAL,2026-04-27
195,sensor_15,50.51,NORMAL,2026-04-27
