id,sensor,value,event_date
0,sensor_00,,2026-04-27
1,sensor_01,14.78,2026-04-27
2,sensor_02,78.99,2026-04-27
3,sensor_03,28.83,2026-04-27
4,sensor_04,20.87,2026-04-27
5,sensor_05,42.53,2026-04-27
6,sensor_06,24.19,2026-04-27
7,sensor_07,63.17,2026-04-27
8,sensor_08,45.39,2026-04-27
9,sensor_09,54.73,2026-04-27
10,sensor_10,40.79,2026-04-27
11,sensor_11,83.83,2026-04-27
12,sensor_12,75.07,2026-04-27
13,sensor_13,18.33,2026-04-27
14,sensor_14,70.72,2026-04-27
15,sensor_15,22.94,2026-04-27
16,sensor_16,12.34,2026-04-27
17,sensor_17,59.17,2026-04-27
18,sensor_18,66.18,2026-04-27
19,sensor_19,40.36,2026-04-27
20,sensor_00,82.93,2026-04-27
21,sensor_01,35.65,2026-04-27
22,sensor_02,95.82,2026-04-27
23,sensor_03,24.97,2026-04-27
24,sensor_04,25.57,2026-04-27
25,sensor_05,22.12,2026-04-27
26,sensor_06,15.47,2026-04-27
27,sensor_07,38.39,2026-04-27
28,sensor_08,16.31,2026-04-27
29,sensor_09,29.15,2026-04-27
30,sensor_10,13.28,2026-04-27
31,sensor_11,45.74,2026-04-27
32,sensor_12,38.47,2026-04-27
33,sensor_13,87.78,2026-04-27
34,sensor_14,75.76,2026-04-27
35,sensor_15,55.73,2026-04-27
36,sensor_16,95.15,2026-04-27
37,sensor_17,98.51,2026-04-27
38,sensor_18,36.46,2026-04-27
39,sensor_19,47.38,2026-04-27
40,sensor_00,38.97,2026-04-27
41,sensor_01,11.15,2026-04-27
42,sensor_02,18.61,2026-04-27
43,sensor_03,7.9,2026-04-27
44,sensor_04,54.45,2026-04-27
45,sensor_05,44.9,2026-04-27
46,sensor_06,53.79,2026-04-27
47,sensor_07,42.41,2026-04-27
48,sensor_08,18.45,2026-04-27
49,sensor_09,50.95,2026-04-27
50,sensor_10,,2026-04-27
51,sensor_11,29.07,2026-04-27
52,sensor_12,62.94,2026-04-27
53,sensor_13,10.53,2026-04-27
54,sensor_14,52.9,2026-04-27
55,sensor_15,22.42,2026-04-27
56,sensor_16,54.71,2026-04-27
57,sensor_17,22.27,2026-04-27
58,sensor_18,63.28,2026-04-27
59,sensor_19,7.37,2026-04-27
60,sensor_00,27.71,2026-04-27
61,sensor_01,41.92,2026-04-27
62,sensor_02,75.16,2026-04-27
63,sensor_03,55.48,2026-04-27
64,sensor_04,17.88,2026-04-27
65,sensor_05,7.4,2026-04-27
66,sensor_06,77.79,2026-04-27
67,sensor_07,77.7,2026-04-27
68,sensor_08,36.03,2026-04-27
69,sensor_09,89.81,2026-04-27
70,sensor_10,82.04,2026-04-27
71,sensor_11,38.85,2026-04-27
72,sensor_12,96.64,2026-04-27
73,sensor_13,92.0,2026-04-27
74,sensor_14,52.02,2026-04-27
75,sensor_15,23.01,2026-04-27
76,sensor_16,69.85,2026-04-27
77,sensor_17,10.97,2026-04-27
78,sensor_18,70.44,2026-04-27
79,sensor_19,38.02,2026-04-27
80,sensor_00,69.76,2026-04-27
81,sensor_01,70.33,2026-04-27
82,sensor_02,23.09,2026-04-27
83,sensor_03,36.77,2026-04-27
84,sensor_04,49.9,2026-04-27
85,sensor_05,92.08,2026-04-27
86,sensor_06,59.59,2026-04-27
87,sensor_07,69.14,2026-04-27
88,sensor_08,40.73,2026-04-27
89,sensor_09,12.76,2026-04-27
90,sensor_10,19.16,2026-04-27
91,sensor_11,84.85,2026-04-27
92,sensor_12,58.51,2026-04-27
93,sensor_13,76.7,2026-04-27
94,sensor_14,38.09,2026-04-27
95,sensor_15,45.44,2026-04-27
96,sensor_16,8.75,2026-04-27
97,sensor_17,26.5,2026-04-27
98,sensor_18,53.06,2026-04-27
99,sensor_19,50.91,2026-04-27
100,sensor_00,,2026-04-27
101,sensor_01,97.69,2026-04-27
102,sensor_02,45.33,2026-04-27
103,sensor_03,47.71,2026-04-27
104,sensor_04,59.15,2026-04-27
105,sensor_05,8.64,2026-04-27
106,sensor_06,22.25,2026-04-27
107,sensor_07,42.7,2026-04-27
108,sensor_08,69.72,2026-04-27
109,sensor_09,54.36,2026-04-27
110,sensor_10,69.25,2026-04-27
111,sensor_11,13.93,2026-04-27
112,sensor_12,47.82,2026-04-27
113,sensor_13,44.21,2026-04-27
114,sensor_14,29.03,2026-04-27
115,sensor_15,45.09,2026-04-27
116,sensor_16,8.38,2026-04-27
117,sensor_17,89.78,2026-04-27
118,sensor_18,27.59,2026-04-27
119,sensor_19,84.99,2026-04-27
120,sensor_00,63.37,2026-04-27
121,sensor_01,33.47,2026-04-27
122,sensor_02,12.92,2026-04-27
123,sensor_03,65.44,2026-04-27
124,sensor_04,5.11,2026-04-27
125,sensor_05,36.13,2026-04-27
126,sensor_06,32.41,2026-04-27
127,sensor_07,24.3,2026-04-27
128,sensor_08,43.63,2026-04-27
129,sensor_09,19.55,2026-04-27
130,sensor_10,28.32,2026-04-27
131,sensor_11,92.4,2026-04-27
132,sensor_12,61.1,2026-04-27
133,sensor_13,22.52,2026-04-27
134,sensor_14,59.9,2026-04-27
135,sensor_15,30.35,2026-04-27
136,sensor_16,3.83,2026-04-27
137,sensor_17,20.92,2026-04-27
138,sensor_18,22.08,2026-04-27
139,sensor_19,58.96,2026-04-27
140,sensor_00,0.92,2026-04-27
141,sensor_01,27.65,2026-04-27
142,sensor_02,66.74,2026-04-27
143,sensor_03,65.02,2026-04-27
144,sensor_04,67.88,2026-04-27
145,sensor_05,22.05,2026-04-27
146,sensor_06,20.67,2026-04-27
147,sensor_07,65.4,2026-04-27
148,sensor_08,70.58,2026-04-27
149,sensor_09,18.55,2026-04-27
150,sensor_10,,2026-04-27
151,sensor_11,35.79,2026-04-27
152,sensor_12,38.76,2026-04-27
153,sensor_13,90.47,2026-04-27
154,sensor_14,6.47,2026-04-27
155,sensor_15,13.28,2026-04-27
156,sensor_16,74.59,2026-04-27
157,sensor_17,3.98,2026-04-27
158,sensor_18,56.03,2026-04-27
159,sensor_19,88.16,2026-04-27
160,sensor_00,28.77,2026-04-27
161,sensor_01,47.52,2026-04-27
162,sensor_02,63.02,2026-04-27
163,sensor_03,25.11,2026-04-27
164,sensor_04,71.76,2026-04-27
165,sensor_05,28.22,2026-04-27
166,sensor_06,38.1,2026-04-27
167,sensor_07,14.51,2026-04-27
168,sensor_08,33.27,2026-04-27
169,sensor_09,84.71,2026-04-27
170,sensor_10,7.08,2026-04-27
171,sensor_11,63.71,2026-04-27
172,sensor_12,19.73,2026-04-27
173,sensor_13,37.24,2026-04-27
174,sensor_14,31.67,2026-04-27
175,sensor_15,8.47,2026-04-27
176,sensor_16,60.16,2026-04-27
177,sensor_17,85.14,2026-04-27
178,sensor_18,1.44,2026-04-27
179,sensor_19,54.6,2026-04-27
180,sensor_00,54.98,2026-04-27
181,sensor_01,80.22,2026-04-27
182,sensor_02,75.87,2026-04-27
183,sensor_03,47.14,2026-04-27
184,sensor_04,86.81,2026-04-27
185,sensor_05,28.42,2026-04-27
186,sensor_06,51.86,2026-04-27
187,sensor_07,64.02,2026-04-27
188,sensor_08,69.04,2026-04-27
189,sensor_09,19.08,2026-04-27
190,sensor_10,29.91,2026-04-27
191,sensor_11,86.66,2026-04-27
192,sensor_12,45.07,2026-04-27
193,sensor_13,36.12,2026-04-27
194,sensor_14,60.22,2026-04-27
195,sensor_15,50.51,2026-04-27
196,sensor_16,63.2,2026-04-27
197,sensor_17,30.04,2026-04-27
198,sensor_18,38.06,2026-04-27
199,sensor_19,58.16,2026-04-27
200,sensor_00,,2026-04-27
201,sensor_01,57.35,2026-04-27
202,sensor_02,62.32,2026-04-27
203,sensor_03,8.56,2026-04-27
204,sensor_04,88.06,2026-04-27
205,sensor_05,84.58,2026-04-27
206,sensor_06,22.16,2026-04-27
207,sensor_07,84.2,2026-04-27
208,sensor_08,85.07,2026-04-27
209,sensor_09,9.31,2026-04-27
210,sensor_10,55.74,2026-04-27
211,sensor_11,87.16,2026-04-27
212,sensor_12,66.26,2026-04-27
213,sensor_13,57.16,2026-04-27
214,sensor_14,7.67,2026-04-27
215,sensor_15,43.01,2026-04-27
216,sensor_16,83.24,2026-04-27
217,sensor_17,18.62,2026-04-27
218,sensor_18,25.57,2026-04-27
219,sensor_19,48.75,2026-04-27
220,sensor_00,87.87,2026-04-27
221,sensor_01,29.01,2026-04-27
222,sensor_02,79.76,2026-04-27
223,sensor_03,32.48,2026-04-27
224,sensor_04,78.57,2026-04-27
225,sensor_05,70.94,2026-04-27
226,sensor_06,86.46,2026-04-27
227,sensor_07,22.5,2026-04-27
228,sensor_08,23.29,2026-04-27
229,sensor_09,90.19,2026-04-27
230,sensor_10,49.25,2026-04-27
231,sensor_11,7.52,2026-04-27
